TransactionAmount,TransactionTime,MerchantCategory,CustomerAge,AccountBalance,NumberOfTransactionsToday,Fraud
7723.59,2,2,83,24796.41,9,1
1991.16,0,1,68,37085.97,22,1
60.19,19,7,55,28678.88,22,1
8155.54,20,8,81,49884.75,11,0
7070.04,22,7,55,37632.54,14,1
7291.43,0,5,67,35363.67,4,1
7713.85,2,1,47,38939.67,13,1
745.08,17,7,68,7199.24,2,0
3587.86,9,7,80,10267.0,23,1
1163.11,21,9,69,35717.5,5,0
8631.72,2,3,55,24724.38,11,1
6234.86,7,9,47,37744.03,6,0
3312.33,13,1,68,5190.66,18,0
640.27,23,1,22,26847.24,21,1
3113.27,17,4,46,18972.14,10,0
3255.21,14,9,21,22877.16,4,0
7297.41,21,6,27,30217.7,9,0
6377.39,22,11,73,25139.3,6,0
8872.69,1,3,34,27016.04,2,1
4724.79,9,1,34,24343.56,17,0
1200.34,1,4,51,20477.31,5,0
7133.88,16,9,23,38605.5,6,0
7609.05,7,3,70,659.54,12,0
5614.97,0,9,83,29942.21,23,1
7710.82,8,7,60,28297.14,21,1
4940.49,10,4,40,35823.14,10,0
5229.71,21,3,72,29971.52,22,1
4278.27,15,10,33,41348.6,21,1
259.06,6,5,25,47955.79,6,0
1083.37,9,5,21,17159.09,8,0
319.13,22,3,21,11406.18,2,0
6365.92,2,9,73,21208.66,12,1
3146.99,17,4,42,14432.08,13,0
5088.16,23,11,84,30766.77,21,1
9076.13,12,5,84,45597.03,7,1
2496.68,6,4,44,6998.85,10,1
4106.78,3,5,49,5084.69,13,1
7556.73,12,7,67,12837.98,17,0
2291.84,19,9,78,36318.47,21,1
774.41,0,7,68,29668.5,14,0
2901.07,7,5,36,5155.52,2,1
1616.41,13,10,38,45941.59,22,1
9297.33,15,10,22,39514.73,11,1
8082.16,13,7,59,1199.98,1,0
6335.87,11,10,78,32585.79,19,0
8715.25,18,5,39,38573.77,21,1
8037.7,22,3,38,18753.05,4,0
1869.77,14,7,18,3492.63,19,0
8926.13,1,11,22,3912.19,21,1
5395.73,1,11,29,5257.14,11,1
8075.36,22,2,63,42029.96,8,0
8961.43,21,9,51,45538.78,11,1
3183.44,18,10,66,6184.4,4,0
1104.97,21,10,62,11833.51,17,0
2283.21,21,1,44,8317.75,7,0
4273.94,16,6,43,9356.73,8,0
8181.06,19,7,64,41882.66,3,0
8608.0,9,8,73,16640.71,22,1
74.49,5,10,80,15606.64,2,0
5109.92,14,9,65,11408.41,23,1
4177.02,21,2,78,30414.32,15,0
2224.97,10,11,43,18996.32,24,1
1203.05,4,10,53,37225.27,22,1
3379.46,0,2,18,10318.71,22,1
9429.38,7,5,25,39400.1,5,1
3235.41,20,5,69,30205.89,24,1
5190.31,11,6,64,5757.65,1,0
7031.67,11,3,73,20754.5,4,0
3639.48,4,8,31,43182.73,15,1
9717.96,6,1,45,46151.86,20,1
9624.66,3,6,19,23311.72,19,1
2521.56,5,4,43,24067.81,3,0
4975.0,12,1,31,45926.81,20,0
3012.28,19,7,76,29374.06,11,0
2851.98,14,9,73,1690.69,17,0
373.69,2,4,24,45641.84,13,0
6097.6,22,4,20,12448.91,11,0
5029.28,7,6,40,28902.72,2,0
519.53,19,3,35,8317.39,9,0
2790.07,15,6,55,1742.26,2,0
9083.12,12,7,32,15608.08,21,1
2399.42,17,11,81,39035.76,9,0
1453.22,9,10,45,13915.48,9,0
4897.08,18,10,56,11043.86,8,0
9856.58,16,3,74,10673.41,17,1
2424.34,23,7,34,25782.93,1,0
6722.99,18,3,61,48778.29,11,0
7617.39,22,2,42,22976.5,8,0
2380.19,4,10,34,27887.4,10,1
7283.52,20,4,30,43038.57,7,0
3680.99,22,8,42,26776.73,3,0
6324.9,8,9,27,9263.92,3,0
6337.13,11,7,84,15014.82,18,0
5360.07,20,1,35,15531.35,5,0
907.45,0,3,51,19896.04,12,0
8353.85,0,9,25,21368.11,12,1
3211.2,14,1,57,39999.11,19,0
1869.25,1,9,59,17501.88,6,0
412.55,21,8,58,23438.18,2,0
5910.97,15,1,23,31267.55,12,0
6777.26,7,6,69,18917.41,19,0
170.8,12,5,43,41836.41,5,0
5123.37,20,6,81,29393.31,12,0
2268.83,0,10,76,14737.53,17,1
6453.5,15,5,73,35717.26,17,0
1747.79,6,6,76,26406.0,10,0
6910.92,4,5,50,26746.07,23,1
3870.42,21,11,70,24080.34,17,0
9367.62,22,5,39,24875.75,15,1
1379.52,2,4,38,38279.55,12,0
3413.96,11,3,21,5193.92,16,0
1139.17,15,3,79,16751.42,24,1
9247.31,18,4,79,3821.39,19,1
8774.01,4,9,41,37674.65,8,1
2583.13,21,2,72,13651.48,21,1
6601.54,13,9,26,44876.65,17,0
8173.14,4,1,20,26352.59,23,1
5554.23,14,1,48,40047.45,5,0
5298.86,16,5,57,48947.63,22,1
2422.31,13,6,53,41997.45,16,0
935.56,19,6,41,43356.34,6,0
8972.67,4,3,23,20428.83,8,1
9004.68,11,7,83,27608.54,18,1
6332.85,15,9,21,12731.73,12,0
3393.6,15,11,23,9845.85,15,0
3495.35,20,10,68,25300.12,9,0
7260.93,6,8,79,29772.7,13,0
8971.62,3,6,74,16996.6,15,1
8871.43,0,8,83,28493.7,10,1
7799.86,4,5,25,44378.65,16,1
